,id,layer,abrasion,oxid,weat,taphorecord,coords.x1,coords.x2,coords.x3
583,1149,D,NA,NA,NA,NA,6.0710000992,2.2119998932,-1.9140000343
584,1154,D,NA,NA,NA,NA,6.9050002098,2.0230000019,-1.9060000181
585,1161,D,NA,NA,NA,NA,6.9380002022,2.0480000973,-1.9090000391
586,1039,D,NA,NA,NA,NA,7.2230000496,2.0409998894,-1.8760000467
587,1050,D,NA,NA,NA,NA,7.3410000801,2.1010000706,-1.9309999943
588,974,D,NA,NA,NA,NA,7.1659998894,1.925999999,-1.9240000248
589,1080,D,NA,NA,NA,NA,7.1950001717,1.9370000362,-1.9240000248
590,1142,D,NA,NA,NA,NA,7.228000164,1.9670000076,-1.9140000343
591,1212,D,NA,NA,NA,NA,7.1770000458,1.9550000429,-1.92900002
592,1308,D,NA,NA,NA,NA,7.0460000038,1.9249999523,-1.8919999599
593,1329,D,NA,NA,NA,NA,8.5450000763,1.6239999533,-1.875
594,979,D,NA,NA,NA,NA,8.4259996414,1.8869999647,-1.8580000401
595,995,D,NA,NA,NA,NA,8.5570001602,1.5599999428,-1.9420000315
596,1013,D,NA,NA,NA,NA,8.4689998627,1.932000041,-1.8459999561
597,1027,D,NA,NA,NA,NA,8.6040000916,1.5559999943,-1.9539999962
598,1121,D,NA,NA,NA,NA,3.3980000019,2.8139998913,-1.9609999657
599,1127,D,NA,NA,NA,NA,3.5239999294,2.7300000191,-1.9550000429
600,1133,D,NA,NA,NA,NA,3.8350000381,2.8459999561,-1.9500000477
601,1145,D,NA,NA,NA,NA,3.8599998951,2.7880001068,-1.9479999542
602,1162,D,NA,NA,NA,NA,3.8710000515,2.6619999409,-1.9589999914
603,1169,D,NA,NA,NA,NA,3.8429999352,2.7320001125,-1.9670000076
604,1177,D,NA,NA,NA,NA,3.8329999447,2.7809998989,-1.9570000172
605,1082,D,NA,NA,NA,NA,4.6009998322,2.4079999924,-1.942999959
606,1088,D,NA,NA,NA,NA,4.5570001602,2.5520000458,-1.9919999838
607,1101,D,NA,NA,NA,NA,4.4790000916,2.4059998989,-2.007999897
608,1106,D,NA,NA,NA,NA,4.6069998741,2.3080000877,-2.007999897
609,1111,D,NA,NA,NA,NA,4.0560002327,2.5940001011,-1.993999958
610,1116,D,NA,NA,NA,NA,4.4739999771,2.496999979,-2.0499999523
611,1213,D,NA,NA,NA,NA,5.1950001717,2.2079999447,-1.9739999771
612,1269,D,NA,NA,NA,NA,5.1950001717,2.3320000172,-1.9720000029
613,1293,D,NA,NA,NA,NA,5.1950001717,2.3269999027,-1.996999979
614,1309,D,NA,NA,NA,NA,5.1950001717,2.1540000439,-2.0050001144
615,1319,D,NA,NA,NA,NA,5.1950001717,2.364000082,-2.007999897
616,1331,D,NA,NA,NA,NA,5.1950001717,2.0940001011,-1.9579999447
617,980,D,NA,NA,NA,NA,5.1950001717,2.1870000362,-1.9500000477
618,996,D,NA,NA,NA,NA,5.1950001717,2.1860001087,-1.9550000429
619,1014,D,NA,NA,NA,NA,5.1950001717,2.1919999123,-2.0260000229
620,1028,D,NA,NA,NA,NA,5.1950001717,2.2279999256,-2.0490000248
621,1040,D,NA,NA,NA,NA,5.1950001717,2.0820000172,-2.0390000343
622,1044,D,NA,NA,NA,NA,5.1950001717,2.1619999409,-2.0450000763
623,1051,D,NA,NA,NA,NA,5.1950001717,2.260999918,-2.0199999809
624,1058,D,NA,NA,NA,NA,5.1950001717,2.121999979,-2.0130000114
625,1064,D,NA,NA,NA,NA,5.1950001717,2.0450000763,-2.0429999828
626,1070,D,NA,NA,NA,NA,5.1950001717,2.0739998817,-1.9889999628
627,1083,D,NA,NA,NA,NA,5.1950001717,2.0280001163,-2.0199999809
628,1089,D,NA,NA,NA,NA,5.1950001717,2.0360000134,-1.9579999447
629,1281,D,NA,NA,NA,NA,5.9640002251,2.3250000477,-1.9500000477
630,1117,D,NA,NA,NA,NA,6.501999855,2.135999918,-1.9639999866
631,1122,D,NA,NA,NA,NA,6.3099999428,2.0399999619,-1.9720000029
632,1128,D,NA,NA,NA,NA,6.3239998817,2.1689999104,-1.9800000191
633,1170,D,NA,NA,NA,NA,6.3579998016,2.4719998837,-2
634,1182,D,NA,NA,NA,NA,6.0809998512,2.1270000935,-1.9880000353
635,1188,D,NA,NA,NA,NA,6.5980000496,2.1719999313,-2.0260000229
636,1194,D,NA,NA,NA,NA,6.3299999237,2.2539999485,-2.0409998894
637,1200,D,NA,NA,NA,NA,6.9099998474,2.0850000381,-1.996999979
638,1081,D,NA,NA,NA,NA,6.5949997902,1.7549999952,-1.9520000219
639,1143,D,NA,NA,NA,NA,6.5739998817,1.875,-1.9759999514
640,1214,D,NA,NA,NA,NA,6.5110001564,1.9049999714,-1.9809999466
641,1270,D,NA,NA,NA,NA,6.4759998322,1.9440000057,-1.9689999819
642,1294,D,NA,NA,NA,NA,6.4530000687,1.9210000038,-1.9700000286
643,1310,D,NA,NA,NA,NA,6.4429998398,1.8600000143,-1.9889999628
644,1320,D,NA,NA,NA,NA,6.5120000839,1.8739999533,-1.9880000353
645,1332,D,NA,NA,NA,NA,6.7540001869,1.8329999447,-2.0490000248
646,981,D,NA,NA,NA,NA,6.507999897,1.932000041,-1.9989999533
647,997,D,NA,NA,NA,NA,6.4450001717,1.9099999666,-2.0290000439
648,1321,D,NA,NA,NA,NA,7.0269999504,1.824000001,-2.0490000248
649,1333,D,NA,NA,NA,NA,7.0009999275,1.9910000563,-1.94599998
650,1045,D,NA,NA,NA,NA,8.5120000839,1.3669999838,-2.0020000935
651,1052,D,NA,NA,NA,NA,8.5989999771,1.6130000353,-1.9665999413
652,1059,D,NA,NA,NA,NA,8.5050001144,1.5260000229,-2.0009999275
653,1065,D,NA,NA,NA,NA,8.4259996414,1.3589999676,-2.0299999714
654,1071,D,NA,NA,NA,NA,8.2899999619,1.4279999733,-2.0209999084
655,1084,D,NA,NA,NA,NA,8.3409996033,1.4709999561,-2.0230000019
656,1090,D,NA,NA,NA,NA,8.1829996109,1.4470000267,-2.0290000439
657,1095,D,NA,NA,NA,NA,8.5399999619,1.4839999676,-2.0280001163
658,1102,D,NA,NA,NA,NA,8.1940002441,1.4270000458,-2.0539999008
659,1108,D,NA,NA,NA,NA,8.2510004044,1.5269999504,-2.0429999828
660,1113,D,NA,NA,NA,NA,8.3389997482,1.425999999,-2.0360000134
661,1118,D,NA,NA,NA,NA,8.3249998093,1.5279999971,-2.0190000534
662,1134,D,NA,NA,NA,NA,8.6470003128,1.6610000134,-2.0009999275
663,1146,D,NA,NA,NA,NA,8.5,1.8819999695,-1.9539999962
664,1183,D,NA,NA,NA,NA,3.5450000763,2.6649999619,-2.0610001087
665,1189,D,NA,NA,NA,NA,3.8239998817,2.6640000343,-2.1019999981
666,1195,D,NA,NA,NA,NA,3.4130001068,2.6919999123,-2.1059999466
667,1201,D,NA,NA,NA,NA,3.4930000305,2.7780001163,-2.1380000114
